seeded 2 of 6 candidates from sea-ice-candidates.json
shard 1: trial 31/10000, front 1, rejected 13
shard 1: trial 64/10000, front 1, rejected 29
shard 1: trial 96/10000, front 1, rejected 50
shard 1: trial 129/10000, front 1, rejected 65
shard 1: trial 161/10000, front 2, rejected 78
shard 1: trial 195/10000, front 3, rejected 94
shard 1: trial 228/10000, front 3, rejected 114
shard 1: trial 262/10000, front 2, rejected 130
shard 1: trial 296/10000, front 2, rejected 144
shard 1: trial 330/10000, front 2, rejected 162
shard 1: trial 363/10000, front 2, rejected 186
shard 1: trial 395/10000, front 3, rejected 207
shard 1: trial 428/10000, front 3, rejected 225
shard 1: trial 458/10000, front 3, rejected 242
shard 1: trial 490/10000, front 3, rejected 259
shard 1: trial 523/10000, front 3, rejected 280
shard 1: trial 552/10000, front 3, rejected 295
shard 1: trial 585/10000, front 2, rejected 313
shard 1: trial 618/10000, front 2, rejected 336
shard 1: trial 651/10000, front 4, rejected 354
shard 1: trial 684/10000, front 3, rejected 372
shard 1: trial 718/10000, front 3, rejected 391
shard 1: trial 751/10000, front 3, rejected 408
shard 1: trial 785/10000, front 3, rejected 424
shard 1: trial 819/10000, front 3, rejected 444
shard 1: trial 852/10000, front 3, rejected 462
shard 1: trial 886/10000, front 3, rejected 481
shard 1: trial 918/10000, front 3, rejected 496
shard 1: trial 952/10000, front 3, rejected 512
shard 1: trial 985/10000, front 4, rejected 529
shard 1: trial 1018/10000, front 4, rejected 543
shard 1: trial 1051/10000, front 5, rejected 562
shard 1: trial 1084/10000, front 6, rejected 577
shard 1: trial 1117/10000, front 5, rejected 590
shard 1: trial 1151/10000, front 5, rejected 604
shard 1: trial 1184/10000, front 5, rejected 621
shard 1: trial 1217/10000, front 5, rejected 633
shard 1: trial 1251/10000, front 5, rejected 654
shard 1: trial 1284/10000, front 5, rejected 669
shard 1: trial 1317/10000, front 6, rejected 685
shard 1: trial 1350/10000, front 5, rejected 702
shard 1: trial 1383/10000, front 5, rejected 719
shard 1: trial 1416/10000, front 5, rejected 736
shard 1: trial 1449/10000, front 4, rejected 753
shard 1: trial 1482/10000, front 4, rejected 774
shard 1: trial 1515/10000, front 4, rejected 795
shard 1: trial 1549/10000, front 5, rejected 810
shard 1: trial 1582/10000, front 5, rejected 825
shard 1: trial 1616/10000, front 5, rejected 845
shard 1: trial 1650/10000, front 5, rejected 865
shard 1: trial 1684/10000, front 5, rejected 884
shard 1: trial 1717/10000, front 5, rejected 902
shard 1: trial 1750/10000, front 5, rejected 919
shard 1: trial 1782/10000, front 5, rejected 931
shard 1: trial 1816/10000, front 4, rejected 948
shard 1: trial 1850/10000, front 4, rejected 968
shard 1: trial 1883/10000, front 4, rejected 983
shard 1: trial 1917/10000, front 4, rejected 1002
shard 1: trial 1951/10000, front 4, rejected 1015
shard 1: trial 1985/10000, front 4, rejected 1034
shard 1: trial 2019/10000, front 4, rejected 1050
shard 1: trial 2053/10000, front 4, rejected 1066
shard 1: trial 2087/10000, front 4, rejected 1082
shard 1: trial 2121/10000, front 5, rejected 1095
shard 1: trial 2155/10000, front 5, rejected 1109
shard 1: trial 2188/10000, front 5, rejected 1129
shard 1: trial 2222/10000, front 5, rejected 1139
shard 1: trial 2256/10000, front 5, rejected 1163
shard 1: trial 2290/10000, front 5, rejected 1173
shard 1: trial 2323/10000, front 5, rejected 1189
shard 1: trial 2356/10000, front 5, rejected 1205
shard 1: trial 2389/10000, front 5, rejected 1218
shard 1: trial 2422/10000, front 6, rejected 1237
shard 1: trial 2455/10000, front 5, rejected 1255
shard 1: trial 2488/10000, front 5, rejected 1269
shard 1: trial 2521/10000, front 6, rejected 1282
shard 1: trial 2555/10000, front 6, rejected 1298
shard 1: trial 2588/10000, front 6, rejected 1311
shard 1: trial 2620/10000, front 6, rejected 1329
shard 1: trial 2652/10000, front 6, rejected 1343
shard 1: trial 2683/10000, front 6, rejected 1362
shard 1: trial 2714/10000, front 6, rejected 1377
shard 1: trial 2746/10000, front 7, rejected 1392
shard 1: trial 2779/10000, front 7, rejected 1407
shard 1: trial 2810/10000, front 7, rejected 1424
shard 1: trial 2842/10000, front 7, rejected 1442
shard 1: trial 2873/10000, front 7, rejected 1459
shard 1: trial 2902/10000, front 8, rejected 1475
shard 1: trial 2934/10000, front 8, rejected 1490
shard 1: trial 2967/10000, front 8, rejected 1510
shard 1: trial 2998/10000, front 9, rejected 1525
shard 1: trial 3029/10000, front 9, rejected 1536
shard 1: trial 3062/10000, front 9, rejected 1552
shard 1: trial 3096/10000, front 9, rejected 1571
shard 1: trial 3129/10000, front 11, rejected 1588
shard 1: trial 3162/10000, front 11, rejected 1610
shard 1: trial 3193/10000, front 11, rejected 1623
shard 1: trial 3225/10000, front 11, rejected 1643
shard 1: trial 3258/10000, front 12, rejected 1655
shard 1: trial 3289/10000, front 12, rejected 1674
shard 1: trial 3322/10000, front 12, rejected 1690
shard 1: trial 3355/10000, front 12, rejected 1705
shard 1: trial 3388/10000, front 12, rejected 1725
shard 1: trial 3422/10000, front 12, rejected 1740
shard 1: trial 3455/10000, front 11, rejected 1761
shard 1: trial 3488/10000, front 11, rejected 1777
shard 1: trial 3522/10000, front 10, rejected 1792
shard 1: trial 3556/10000, front 10, rejected 1804
shard 1: trial 3589/10000, front 9, rejected 1822
shard 1: trial 3623/10000, front 10, rejected 1840
shard 1: trial 3657/10000, front 10, rejected 1857
shard 1: trial 3691/10000, front 10, rejected 1873
shard 1: trial 3725/10000, front 10, rejected 1894
shard 1: trial 3758/10000, front 10, rejected 1908
shard 1: trial 3792/10000, front 10, rejected 1919
shard 1: trial 3826/10000, front 10, rejected 1930
shard 1: trial 3859/10000, front 11, rejected 1945
shard 1: trial 3892/10000, front 10, rejected 1960
shard 1: trial 3926/10000, front 10, rejected 1974
shard 1: trial 3959/10000, front 10, rejected 1990
shard 1: trial 3992/10000, front 10, rejected 2009
shard 1: trial 4025/10000, front 10, rejected 2023
shard 1: trial 4059/10000, front 10, rejected 2037
shard 1: trial 4093/10000, front 10, rejected 2052
shard 1: trial 4127/10000, front 9, rejected 2066
shard 1: trial 4161/10000, front 8, rejected 2079
