seeded 2 of 6 candidates from sea-ice-candidates.json
shard 3: trial 30/10000, front 2, rejected 14
shard 3: trial 63/10000, front 2, rejected 27
shard 3: trial 97/10000, front 2, rejected 42
shard 3: trial 130/10000, front 1, rejected 56
shard 3: trial 163/10000, front 1, rejected 72
shard 3: trial 197/10000, front 1, rejected 79
shard 3: trial 231/10000, front 1, rejected 97
shard 3: trial 264/10000, front 1, rejected 111
shard 3: trial 297/10000, front 2, rejected 122
shard 3: trial 330/10000, front 2, rejected 138
shard 3: trial 362/10000, front 2, rejected 154
shard 3: trial 395/10000, front 3, rejected 171
shard 3: trial 428/10000, front 3, rejected 189
shard 3: trial 456/10000, front 1, rejected 206
shard 3: trial 489/10000, front 1, rejected 225
shard 3: trial 523/10000, front 1, rejected 246
shard 3: trial 553/10000, front 1, rejected 262
shard 3: trial 587/10000, front 1, rejected 274
shard 3: trial 621/10000, front 1, rejected 287
shard 3: trial 654/10000, front 2, rejected 301
shard 3: trial 688/10000, front 1, rejected 314
shard 3: trial 722/10000, front 1, rejected 329
shard 3: trial 755/10000, front 1, rejected 340
shard 3: trial 788/10000, front 1, rejected 352
shard 3: trial 820/10000, front 1, rejected 362
shard 3: trial 853/10000, front 1, rejected 376
shard 3: trial 886/10000, front 1, rejected 392
shard 3: trial 920/10000, front 1, rejected 409
shard 3: trial 954/10000, front 1, rejected 424
shard 3: trial 987/10000, front 1, rejected 438
shard 3: trial 1020/10000, front 1, rejected 453
shard 3: trial 1054/10000, front 2, rejected 466
shard 3: trial 1088/10000, front 2, rejected 485
shard 3: trial 1121/10000, front 2, rejected 497
shard 3: trial 1155/10000, front 1, rejected 511
shard 3: trial 1188/10000, front 2, rejected 529
shard 3: trial 1221/10000, front 2, rejected 547
shard 3: trial 1255/10000, front 2, rejected 567
shard 3: trial 1288/10000, front 2, rejected 583
shard 3: trial 1322/10000, front 2, rejected 603
shard 3: trial 1356/10000, front 2, rejected 617
shard 3: trial 1389/10000, front 2, rejected 635
shard 3: trial 1422/10000, front 2, rejected 649
shard 3: trial 1455/10000, front 2, rejected 660
shard 3: trial 1489/10000, front 2, rejected 673
shard 3: trial 1523/10000, front 2, rejected 689
shard 3: trial 1557/10000, front 2, rejected 705
shard 3: trial 1591/10000, front 2, rejected 727
shard 3: trial 1625/10000, front 2, rejected 745
shard 3: trial 1659/10000, front 2, rejected 763
shard 3: trial 1693/10000, front 2, rejected 779
shard 3: trial 1727/10000, front 1, rejected 790
shard 3: trial 1760/10000, front 1, rejected 808
shard 3: trial 1794/10000, front 1, rejected 828
shard 3: trial 1828/10000, front 1, rejected 842
shard 3: trial 1862/10000, front 1, rejected 859
shard 3: trial 1896/10000, front 1, rejected 877
shard 3: trial 1930/10000, front 1, rejected 897
shard 3: trial 1963/10000, front 1, rejected 906
shard 3: trial 1997/10000, front 1, rejected 923
shard 3: trial 2031/10000, front 1, rejected 940
shard 3: trial 2065/10000, front 1, rejected 956
shard 3: trial 2098/10000, front 1, rejected 968
shard 3: trial 2131/10000, front 1, rejected 979
shard 3: trial 2164/10000, front 2, rejected 997
shard 3: trial 2197/10000, front 2, rejected 1009
shard 3: trial 2230/10000, front 2, rejected 1022
shard 3: trial 2263/10000, front 2, rejected 1036
shard 3: trial 2296/10000, front 2, rejected 1050
shard 3: trial 2329/10000, front 2, rejected 1074
shard 3: trial 2362/10000, front 2, rejected 1088
shard 3: trial 2396/10000, front 2, rejected 1102
shard 3: trial 2429/10000, front 2, rejected 1118
shard 3: trial 2462/10000, front 2, rejected 1135
shard 3: trial 2495/10000, front 2, rejected 1153
shard 3: trial 2528/10000, front 2, rejected 1168
shard 3: trial 2561/10000, front 2, rejected 1187
shard 3: trial 2594/10000, front 2, rejected 1206
shard 3: trial 2627/10000, front 2, rejected 1219
shard 3: trial 2657/10000, front 2, rejected 1237
shard 3: trial 2688/10000, front 2, rejected 1254
shard 3: trial 2720/10000, front 2, rejected 1270
shard 3: trial 2751/10000, front 2, rejected 1285
shard 3: trial 2783/10000, front 2, rejected 1295
shard 3: trial 2814/10000, front 2, rejected 1310
shard 3: trial 2846/10000, front 2, rejected 1328
shard 3: trial 2876/10000, front 2, rejected 1338
shard 3: trial 2903/10000, front 2, rejected 1351
shard 3: trial 2935/10000, front 2, rejected 1364
shard 3: trial 2966/10000, front 2, rejected 1379
shard 3: trial 2998/10000, front 2, rejected 1395
shard 3: trial 3029/10000, front 2, rejected 1406
shard 3: trial 3061/10000, front 2, rejected 1416
shard 3: trial 3095/10000, front 2, rejected 1432
shard 3: trial 3128/10000, front 2, rejected 1445
shard 3: trial 3161/10000, front 2, rejected 1456
shard 3: trial 3193/10000, front 2, rejected 1470
shard 3: trial 3225/10000, front 2, rejected 1485
shard 3: trial 3258/10000, front 2, rejected 1496
shard 3: trial 3289/10000, front 2, rejected 1510
shard 3: trial 3322/10000, front 2, rejected 1527
shard 3: trial 3355/10000, front 2, rejected 1544
shard 3: trial 3389/10000, front 2, rejected 1558
shard 3: trial 3422/10000, front 2, rejected 1575
shard 3: trial 3455/10000, front 2, rejected 1588
shard 3: trial 3489/10000, front 2, rejected 1601
shard 3: trial 3523/10000, front 2, rejected 1618
shard 3: trial 3557/10000, front 2, rejected 1633
shard 3: trial 3591/10000, front 2, rejected 1647
shard 3: trial 3625/10000, front 2, rejected 1661
shard 3: trial 3659/10000, front 2, rejected 1679
shard 3: stopping at patience 500
shard 3 done: trial 3671, front 2, rejected 1684. Wrote runs/seaice-large/shard-3.json
