seeded 2 of 6 candidates from sea-ice-candidates.json
shard 2: trial 31/10000, front 1, rejected 12
shard 2: trial 65/10000, front 1, rejected 26
shard 2: trial 99/10000, front 1, rejected 33
shard 2: trial 132/10000, front 1, rejected 51
shard 2: trial 165/10000, front 1, rejected 68
shard 2: trial 198/10000, front 1, rejected 79
shard 2: trial 232/10000, front 1, rejected 97
shard 2: trial 266/10000, front 1, rejected 111
shard 2: trial 300/10000, front 1, rejected 128
shard 2: trial 334/10000, front 1, rejected 140
shard 2: trial 368/10000, front 1, rejected 157
shard 2: trial 401/10000, front 1, rejected 175
shard 2: trial 435/10000, front 1, rejected 194
shard 2: trial 463/10000, front 1, rejected 206
shard 2: trial 496/10000, front 1, rejected 225
shard 2: trial 530/10000, front 1, rejected 242
shard 2: trial 560/10000, front 1, rejected 254
shard 2: trial 593/10000, front 1, rejected 268
shard 2: trial 626/10000, front 1, rejected 278
shard 2: trial 659/10000, front 1, rejected 293
shard 2: trial 692/10000, front 1, rejected 313
shard 2: trial 726/10000, front 1, rejected 334
shard 2: trial 759/10000, front 1, rejected 346
shard 2: trial 793/10000, front 1, rejected 363
shard 2: trial 827/10000, front 1, rejected 378
shard 2: trial 860/10000, front 1, rejected 398
shard 2: trial 894/10000, front 1, rejected 413
shard 2: trial 928/10000, front 1, rejected 430
shard 2: trial 962/10000, front 1, rejected 448
shard 2: trial 996/10000, front 1, rejected 462
shard 2: trial 1029/10000, front 1, rejected 475
shard 2: trial 1063/10000, front 1, rejected 494
shard 2: trial 1097/10000, front 1, rejected 513
shard 2: trial 1130/10000, front 1, rejected 525
